PSR_ID,Nearby_Features,Closest_SAR_File_raw,Calibrated_Filename,Exists_On_Portal,Size_Bytes,Size_GB,Centre_Lat,Centre_Lon
SP_890390_3377770,Haworth Crater Shackleton Crater,ch2_sar_ncxl_20250930t114950175_d_cp_d18.zip,ch2_sar_ncxl_20250930t114950175_d_cp_d18.zip,Yes,3983353176,3.98,-88.989875,-19.437723
SP_824450_2271370,Ashbrook Crater Kocher Crater,ch2_sar_ncxl_20230324t082854662_d_fp_d32.zip,ch2_sar_ncxl_20230324t082854662_d_fp_d32.zip,Yes,1886140824,1.89,-82.473308,-133.459192
SP_874430_1188390,Slater Crater,ch2_sar_nrxl_20250410t210709087_d_cp_d18.zip,ch2_sar_ncxl_20250410t210709087_d_cp_d18.zip,Yes,4443513080,4.44,-87.385284,120.596503
SP_878530_3185060,Ibn Bajja Crater Haworth Crater,ch2_sar_nrxl_20221010t145416101_d_fp_d32.zip,ch2_sar_ncxl_20221010t145416101_d_fp_d32.zip,Yes,1917205870,1.92,-87.969653,-43.549499
SP_874930_3578760,Haworth Crater,ch2_sar_nrxl_20250322t155427984_d_cp_d18.zip,ch2_sar_ncxl_20250322t155427984_d_cp_d18.zip,Yes,3824140306,3.82,-87.526236,0.76748
SP_889130_1507620,Sverdrup Crater Slater Crater,ch2_sar_nrxl_20250917t044536401_d_cp_d18.zip,ch2_sar_ncxl_20250917t044536401_d_cp_d18.zip,Yes,4229877355,4.23,-88.815789,153.042632
SP_878330_1263810,Slater Crater,ch2_sar_nrxl_20220928t074707235_d_fp_d32.zip,ch2_sar_ncxl_20220928t074707235_d_fp_d32.zip,Yes,1804920469,1.8,-88.0032,124.69422
SP_822730_2243490,Kocher Crater Laveran Crater,ch2_sar_ncxl_20211021t203526148_d_fp_d18.zip,ch2_sar_ncxl_20211021t203526148_d_fp_d18.zip,Yes,1752344165,1.75,-82.337454,-136.194228
SP_880260_0452790,Shoemaker crater,ch2_sar_nrxl_20240909t122014006_d_cp_d18.zip,ch2_sar_ncxl_20240909t122014006_d_cp_d18.zip,Yes,4787087335,4.79,-87.894636,49.103044
SP_889970_3170870,de Gerlache Crater Haworth Crater,ch2_sar_ncxl_20251001t132254253_d_cp_d18.zip,ch2_sar_ncxl_20251001t132254253_d_cp_d18.zip,Yes,3095130616,3.1,-88.901755,-46.991285
SP_825890_0285130,Scott Crater Malapert E,ch2_sar_nrxl_20230311t220142252_d_fp_n18.zip,ch2_sar_ncxl_20230311t220142252_d_fp_n18.zip,Yes,1631152731,1.63,-82.417357,28.256601
SP_871270_0406840,Shoemaker Crater Nobile Crater,ch2_sar_ncxl_20241018t061442850_d_cp_d18.zip,ch2_sar_ncxl_20241018t061442850_d_cp_d18.zip,Yes,3735967711,3.74,-87.241249,41.951325
SP_867440_0218610,Haworth Crater Shoemaker Crater,ch2_sar_ncxl_20201022t140200748_d_fp_d18.zip,ch2_sar_ncxl_20201022t140200748_d_fp_d18.zip,Yes,3334620894,3.33,-86.757215,24.303142
SP_868670_2973140,Ibn Bajja Crater Haworth Crater,ch2_sar_ncxl_20201030t203407740_d_fp_d18.zip,ch2_sar_ncxl_20201030t203407740_d_fp_d18.zip,Yes,3956798642,3.96,-86.947808,-60.538501
SP_834700_1757740,Wiechert E,ch2_sar_nrxl_20220821t050453752_d_fp_d32.zip,ch2_sar_ncxl_20220821t050453752_d_fp_d32.zip,Yes,869315935,0.87,-83.311651,175.414314
SP_843960_1621040,Wiechert P Wiechert Crater,ch2_sar_nrxl_20190922t032857034_d_fp_d18.zip,ch2_sar_ncxl_20190922t032857034_d_fp_d18.zip,Yes,2442381402,2.44,-84.502895,163.54063
SP_883120_2691430,de Gerlache Crater,ch2_sar_nrxl_20251007t224253019_d_cp_d18.zip,ch2_sar_ncxl_20251007t224253019_d_cp_d18.zip,Yes,4048750646,4.05,-88.413923,-86.896964
SP_860280_3443410,Haworth Crater Malapert Crater Cabeus Crater,ch2_sar_nrxl_20251024t055401782_d_fp_d32.zip,ch2_sar_ncxl_20251024t055401782_d_fp_d32.zip,Yes,1931060098,1.93,-86.287706,-14.853135
SP_883170_0809830,Shoemaker Crater Slater Crater,ch2_sar_ncls_20200913t042439405_d_fp_d18.zip,ch2_sar_ncls_20200913t042439405_d_fp_d18.zip,Yes,1596570571,1.6,-88.203941,77.678499
SP_867930_0609460,Shoemaker Crater Nobile Crater,ch2_sar_ncxl_20241005t190108445_d_cp_d18.zip,ch2_sar_ncxl_20241005t190108445_d_cp_d18.zip,Yes,3300187674,3.3,-86.833386,63.880262
SP_822920_2211100,Kocher Crater Laveran Crater,ch2_sar_ncxl_20210924t210704032_d_fp_d18.zip,ch2_sar_ncxl_20210924t210704032_d_fp_d18.zip,Yes,1928695120,1.93,-82.373939,-140.003772
SP_820540_0583270,von Baeyer Crater,ch2_sar_nrxl_20231014t083449362_d_fp_d18.zip,ch2_sar_ncxl_20231014t083449362_d_fp_d18.zip,Yes,1881818203,1.88,-82.281774,59.974718
SP_837400_1630860,Wiechert Crater,ch2_sar_nrxl_20220407t134426983_d_fp_d18.zip,ch2_sar_ncxl_20220407t134426983_d_fp_d18.zip,Yes,732825504,0.73,-83.636513,164.507621
SP_856730_2119650,Kocher Crater Wiechert J,ch2_sar_nrxl_20200823t085159773_d_fp_d18.zip,ch2_sar_ncxl_20200823t085159773_d_fp_d18.zip,Yes,4715216603,4.72,-85.809181,-150.010044
SP_819860_1568660,Braude Crater,ch2_sar_ncxl_20230909t034916348_d_fp_d32.zip,ch2_sar_ncxl_20230909t034916348_d_fp_d32.zip,Yes,1684123395,1.68,-82.030559,155.555147
SP_863550_0488280,Shoemaker Crater Nobile Crater,ch2_sar_ncxl_20191108t184432959_d_fp_d18.zip,ch2_sar_ncxl_20191108t184432959_d_fp_d18.zip,Yes,3942322856,3.94,-86.166355,49.550012
SP_876600_2623440,de Gerlache Crater Sverdrup Crater,ch2_sar_nrxl_20250910t231859036_d_cp_d18.zip,ch2_sar_ncxl_20250910t231859036_d_cp_d18.zip,Yes,4040394857,4.04,-87.490306,-100.498123
SP_869020_0278760,Haworth Crater Shoemaker Crater,ch2_sar_nrxl_20201022t140200748_d_fp_d18.zip,ch2_sar_ncxl_20201022t140200748_d_fp_d18.zip,Yes,3334620894,3.33,-86.757215,24.303142
SP_818790_1353780,Nefed'ev Crater,ch2_sar_ncxl_20230330t175159785_d_fp_d32.zip,ch2_sar_ncxl_20230330t175159785_d_fp_d32.zip,Yes,1619193532,1.62,-82.092137,135.390073
SP_843980_2899650,Cabeus Crater Ibn Baja,ch2_sar_ncxl_20200904t212517034_d_fp_d18.zip,ch2_sar_ncxl_20200904t212517034_d_fp_d18.zip,Yes,4522592297,4.52,-84.501651,-68.074623
SP_824820_3550120,Newton B,ch2_sar_nrxl_20230314t030551380_d_fp_d32.zip,ch2_sar_ncxl_20230314t030551380_d_fp_d32.zip,Yes,1955632894,1.96,-82.268665,-4.145878
SP_823950_3576610,Newton B Malapert C,ch2_sar_nrxl_20230314t030551380_d_fp_d32.zip,ch2_sar_ncxl_20230314t030551380_d_fp_d32.zip,Yes,1955632894,1.96,-82.268665,-4.145878
SP_854150_3078410,Cabeus Crater,ch2_sar_ncxl_20191021t151236474_d_fp_d18.zip,ch2_sar_ncxl_20191021t151236474_d_fp_d18.zip,Yes,4632151356,4.63,-85.639084,-51.379538
SP_828910_2713550,Drygalski Crater Drygalski P,ch2_sar_nrxl_20210824t223233231_d_fp_d18.zip,ch2_sar_ncxl_20210824t223233231_d_fp_d18.zip,Yes,2101229525,2.1,-82.643366,-86.631525
SP_853600_3177620,Cabeus Crater,ch2_sar_nrls_20200305t114902885_d_cp_d18.zip,ch2_sar_ncls_20200305t114902885_d_cp_d18.zip,Yes,1018587670,1.02,-85.562334,-44.646601
